,image,object,probability,coordinates
0,D:/50fotos\N30051000398583\N30051000398583_0001.tif,person,0.74,"[232, 436, 530, 1062]"
1,D:/50fotos\N30051000398583\N30051000398583_0001.tif,person,0.66,"[2050, 422, 2326, 1043]"
2,D:/50fotos\N30051000398583\N30051000398583_0001.tif,bowl,0.6,"[2122, 1000, 2369, 1147]"
3,D:/50fotos\N30051000398583\N30051000398583_0001.tif,bench,0.49,"[2454, 1026, 2748, 1631]"
4,D:/50fotos\N30051000398583\N30051000398583_0001.tif,bicycle,0.4,"[2526, 1395, 2745, 1632]"
5,D:/50fotos\N30051000398583\N30051000398583_0001.tif,bench,0.37,"[317, 1174, 2541, 1982]"
6,D:/50fotos\N30051000398583\N30051000398583_0001.tif,bench,0.3,"[1004, 1174, 2537, 1984]"
7,D:/50fotos\N30051000398583\N30051000398583_0001.tif,bench,0.28,"[64, 1046, 468, 1558]"
8,D:/50fotos\N30051000272945\N30051000272945_0001.tif,person,0.83,"[1106, 1588, 1469, 2420]"
9,D:/50fotos\N30051000272945\N30051000272945_0001.tif,person,0.74,"[1565, 929, 1837, 1638]"
10,D:/50fotos\N30051000272945\N30051000272945_0001.tif,person,0.74,"[1143, 1013, 1395, 1306]"
11,D:/50fotos\N30051000272945\N30051000272945_0001.tif,person,0.72,"[1975, 965, 2226, 1640]"
12,D:/50fotos\N30051000272945\N30051000272945_0001.tif,person,0.57,"[211, 1344, 501, 1755]"
13,D:/50fotos\N30051000272945\N30051000272945_0001.tif,tie,0.44,"[322, 1466, 389, 1626]"
14,D:/50fotos\N30051000272945\N30051000272945_0001.tif,person,0.36,"[1978, 966, 2203, 1221]"
15,D:/50fotos\N30051000340700\N30051000340700_0001.tif,person,0.9,"[1445, 418, 2166, 1683]"
16,D:/50fotos\N30051000340700\N30051000340700_0001.tif,car,0.78,"[32, 834, 362, 1162]"
17,D:/50fotos\N30051000340700\N30051000340700_0001.tif,motorcycle,0.26,"[41, 901, 1149, 1972]"
18,D:/50fotos\N30051000340908\N30051000340908_0001.tif,person,0.94,"[357, 1531, 1519, 2944]"
19,D:/50fotos\N30051000340908\N30051000340908_0001.tif,chair,0.43,"[357, 2688, 621, 2961]"
20,D:/50fotos\N30051000342144\N30051000342144_0001.tif,person,0.94,"[510, 1539, 1593, 2912]"
21,D:/50fotos\N30051000342144\N30051000342144_0001.tif,person,0.88,"[2004, 716, 2316, 1669]"
22,D:/50fotos\N30051000342144\N30051000342144_0001.tif,person,0.87,"[1200, 877, 1925, 2913]"
23,D:/50fotos\N30051000342144\N30051000342144_0001.tif,tie,0.83,"[989, 2214, 1224, 2924]"
24,D:/50fotos\N30051000342144\N30051000342144_0001.tif,person,0.75,"[637, 189, 1599, 1891]"
25,D:/50fotos\N30051000342144\N30051000342144_0001.tif,person,0.68,"[389, 732, 984, 2136]"
26,D:/50fotos\N30051000342144\N30051000342144_0001.tif,person,0.51,"[1863, 828, 2032, 1677]"
27,D:/50fotos\N30051000342144\N30051000342144_0001.tif,person,0.28,"[1868, 826, 2034, 1436]"
28,D:/50fotos\N30051000349065\N30051000349065_0001.tif,car,0.92,"[2207, 1047, 2947, 2305]"
29,D:/50fotos\N30051000349065\N30051000349065_0001.tif,person,0.92,"[290, 1348, 777, 2029]"
30,D:/50fotos\N30051000349065\N30051000349065_0001.tif,person,0.91,"[104, 1073, 422, 1939]"
31,D:/50fotos\N30051000349065\N30051000349065_0001.tif,person,0.89,"[938, 1407, 1338, 2063]"
32,D:/50fotos\N30051000358827\N30051000358827_0001.tif,person,0.9,"[959, 2079, 1430, 2881]"
33,D:/50fotos\N30051000358827\N30051000358827_0001.tif,person,0.89,"[1937, 1893, 2336, 2949]"
34,D:/50fotos\N30051000358827\N30051000358827_0001.tif,bicycle,0.7,"[1798, 2769, 2334, 2956]"
35,D:/50fotos\N30051000358827\N30051000358827_0001.tif,bicycle,0.33,"[1800, 2766, 2059, 2955]"
36,D:/50fotos\N30051000363991\N30051000363991_0001.tif,potted plant,0.92,"[926, 1466, 1669, 2079]"
37,D:/50fotos\N30051000363991\N30051000363991_0001.tif,person,0.89,"[878, 1180, 1247, 1450]"
38,D:/50fotos\N30051000363991\N30051000363991_0001.tif,person,0.87,"[676, 1234, 909, 1450]"
39,D:/50fotos\N30051000363991\N30051000363991_0001.tif,person,0.85,"[1288, 998, 1643, 1447]"
40,D:/50fotos\N30051000363991\N30051000363991_0001.tif,person,0.78,"[86, 1141, 414, 1534]"
41,D:/50fotos\N30051000363991\N30051000363991_0001.tif,person,0.78,"[2199, 1192, 2520, 1445]"
42,D:/50fotos\N30051000363991\N30051000363991_0001.tif,person,0.76,"[399, 1220, 692, 1448]"
