,image,object,probability,coordinates
0,N3005100130809,Q215627,0.89,"[1345, 751, 1743, 1775]"
1,N3005100130809,Q215627,0.89,"[1121, 791, 1407, 1779]"
2,N3005100130809,Q215627,0.87,"[491, 730, 841, 1756]"
3,N3005100130809,Q215627,0.85,"[796, 736, 1148, 1660]"
4,N3005100130809,Q215627,0.85,"[328, 873, 532, 1658]"
5,N3005100130809,Q215627,0.73,"[1895, 673, 2277, 1638]"
6,N3005100130809,Q215627,0.52,"[2229, 766, 2351, 1437]"
7,N3005100130809,Q215627,0.45,"[463, 849, 553, 1030]"
8,N3005100130809,Q215627,0.44,"[1293, 761, 1400, 954]"
9,N3005100130809,Q215627,0.43,"[1754, 762, 1868, 1410]"
10,N3005100044441,Q215627,0.94,"[1682, 198, 2923, 2296]"
11,N3005100044441,Q215627,0.91,"[342, 509, 1648, 2298]"
12,N3005100044441,Q215627,0.79,"[2492, 362, 2910, 830]"
13,N3005100044441,Q215627,0.71,"[1432, 371, 1949, 2292]"
14,N3005100044441,Q215627,0.67,"[1111, 365, 1946, 2297]"
15,N3005100044441,Q215627,0.27,"[2404, 343, 2524, 633]"
16,N3005100268874,Q215627,0.9,"[997, 454, 2280, 1939]"
17,N3005100268874,Q44416,0.89,"[1537, 1029, 1663, 1413]"
18,N3005100268874,Q215627,0.88,"[253, 796, 1083, 1676]"
19,N3005100268874,Q81727,0.83,"[487, 1612, 722, 1740]"
20,N3005100268874,Q81727,0.78,"[24, 1576, 166, 1757]"
21,N3005100268874,Q81727,0.76,"[179, 1573, 366, 1779]"
22,N3005100268874,Q14748,0.71,"[4, 1514, 2254, 2220]"
23,N3005100268874,Q215627,0.71,"[1, 938, 338, 1572]"
24,N3005100268874,Q15026,0.65,"[2148, 1368, 2493, 2218]"
25,N3005100268874,Q81727,0.64,"[353, 1666, 548, 1801]"
26,N3005100268874,Q14748,0.57,"[2279, 2057, 2854, 2226]"
27,N3005100268874,Q44416,0.5,"[601, 1159, 695, 1321]"
28,N3005100268874,Q571,0.48,"[700, 1760, 1941, 2087]"
29,N3005100134337,Q215627,0.94,"[194, 146, 1112, 2184]"
30,N3005100134337,Q215627,0.89,"[1169, 1096, 2552, 2229]"
31,N3005100134337,Q42177,0.29,"[73, 1993, 2851, 2336]"
32,N3005100134337,Q44416,0.27,"[711, 695, 763, 814]"
33,N3005100070484,Q215627,0.82,"[1995, 869, 2356, 1745]"
34,N3005100070484,Q215627,0.81,"[181, 1141, 505, 2013]"
35,N3005100070484,Q215627,0.78,"[1186, 1259, 1449, 1787]"
36,N3005100070484,Q215627,0.68,"[699, 1516, 902, 1762]"
37,N3005100070484,Q215627,0.64,"[1308, 1438, 1637, 1951]"
38,N3005100070484,Q215627,0.62,"[1884, 1558, 2189, 2116]"
39,N3005100070484,Q215627,0.62,"[66, 1218, 204, 1652]"
40,N3005100070484,Q215627,0.6,"[1382, 1836, 1744, 2322]"
41,N3005100070484,Q215627,0.58,"[2635, 1670, 2899, 2155]"
42,N3005100070484,Q215627,0.53,"[2175, 1645, 2768, 2325]"
43,N3005100070484,Q215627,0.52,"[1682, 1853, 1963, 2322]"
44,N3005100070484,Q27993793,0.42,"[1542, 703, 2117, 1515]"
45,N3005100070484,Q215627,0.42,"[779, 1713, 1446, 2308]"
46,N3005100070484,Q215627,0.39,"[2645, 1335, 2849, 1681]"
47,N3005100070484,Q215627,0.38,"[345, 2063, 838, 2323]"
48,N3005100070484,Q215627,0.33,"[63, 2025, 370, 2324]"
