,image,object,probability,coordinates,check
0,N30051001509972,person,0.93,"[351, 1236, 1749, 2852]",True
1,N30051001509972,surfboard,0.39,"[781, 319, 1312, 1805]",False
2,N30051001450268,person,0.61,"[281, 636, 2063, 2871]",True
3,N30051001450268,person,0.44,"[659, 636, 1835, 2874]",True
4,N30051001450268,bed,0.35,"[279, 1001, 2070, 2872]",False
5,N30051000586690,person,0.92,"[661, 252, 2006, 2385]",True
6,N30051000586690,tie,0.87,"[1221, 843, 1450, 1672]",True
7,N30051000586690,wine glass,0.74,"[370, 2632, 569, 2893]",True
8,N30051000586690,book,0.36,"[668, 2343, 1491, 2771]",True
9,N30051002738588,person,0.73,"[1029, 889, 2760, 3481]",True
10,N30051002738588,bench,0.37,"[340, 31, 3654, 3497]",False
11,N30051002738588,elephant,0.33,"[5, 3170, 1374, 3514]",
12,N30051002285523,car,0.76,"[127, 1593, 389, 1735]",
13,N30051002285523,bicycle,0.6,"[334, 1615, 583, 1762]",
14,N30051002285523,bicycle,0.54,"[590, 1614, 812, 1761]",
15,N30051002285523,car,0.45,"[2818, 1611, 2954, 1673]",
16,N30051002285523,car,0.43,"[2497, 1616, 2658, 1670]",
17,N30051002285523,bicycle,0.39,"[1064, 1627, 1268, 1749]",
18,N30051002285523,bicycle,0.35,"[785, 1631, 954, 1756]",
19,N30051002285523,car,0.3,"[2637, 1612, 2758, 1665]",
20,N30051000454105,book,0.95,"[1329, 1517, 2720, 2660]",
21,N30051000454105,person,0.92,"[459, 547, 2665, 2729]",
22,N30051000454105,person,0.72,"[1695, 283, 2695, 1733]",
23,N30051000454105,book,0.6,"[2538, 1955, 3112, 2438]",
24,N30051000454105,vase,0.54,"[1959, 545, 2043, 683]",
25,N30051000454105,book,0.37,"[2508, 2312, 2908, 2542]",
26,N30051000454105,dinning table,0.32,"[552, 1817, 3110, 2712]",
27,N30051000454105,chair,0.27,"[1533, 1381, 1815, 1588]",
28,N30051000454105,dinning table,0.26,"[766, 1496, 3112, 2713]",
29,N30051001460846,person,0.91,"[174, 509, 845, 2299]",
30,N30051001460846,person,0.91,"[1699, 755, 2624, 2154]",
31,N30051001460846,person,0.85,"[791, 1172, 1474, 2289]",
32,N30051001460846,person,0.82,"[553, 602, 971, 1922]",
33,N30051001460846,person,0.76,"[1380, 737, 1674, 1218]",
34,N30051001460846,person,0.72,"[1520, 723, 1727, 1091]",
35,N30051001460846,person,0.67,"[1930, 391, 2437, 1426]",
36,N30051001460846,bowl,0.66,"[1665, 1082, 1829, 1165]",
37,N30051001460846,person,0.63,"[741, 503, 980, 1164]",
38,N30051001460846,person,0.61,"[882, 570, 1233, 1243]",
39,N30051001460846,person,0.61,"[1113, 1128, 1512, 1938]",
40,N30051001460846,person,0.56,"[1216, 750, 1564, 1430]",
41,N30051001460846,person,0.56,"[1117, 559, 1256, 918]",
42,N30051001460846,person,0.43,"[63, 510, 297, 2306]",
43,N30051001460846,handbag,0.42,"[1582, 1606, 1838, 1975]",
44,N30051001460846,person,0.4,"[1581, 580, 1802, 926]",
45,N30051001460846,chair,0.37,"[2011, 1187, 2647, 2206]",
46,N30051001460846,tie,0.32,"[817, 713, 911, 943]",
47,N30051001460846,chair,0.28,"[2584, 1138, 2773, 1448]",
48,N30051001460846,tie,0.28,"[722, 940, 884, 1299]",
49,N30051001460846,handbag,0.27,"[1585, 1609, 2039, 2002]",
50,N30051001460846,person,0.26,"[1204, 742, 1561, 1929]",
51,N30051001441200,person,0.94,"[1783, 509, 2555, 2387]",
52,N30051001441200,person,0.92,"[482, 549, 1276, 2387]",
53,N30051001441200,person,0.91,"[1115, 535, 1792, 2391]",
54,N30051001441200,person,0.88,"[2422, 1108, 2828, 2166]",
55,N30051001441200,chair,0.86,"[77, 1462, 539, 2391]",
56,N30051001441200,person,0.79,"[422, 698, 750, 1136]",
57,N30051001441200,person,0.61,"[71, 782, 282, 1321]",
58,N30051001441200,person,0.6,"[181, 772, 414, 1043]",
59,N30051001441200,person,0.53,"[173, 1015, 500, 1487]",
60,N30051001441200,tie,0.52,"[1383, 919, 1489, 1163]",
61,N30051001441200,person,0.51,"[1698, 1079, 1871, 1381]",
62,N30051001441200,book,0.35,"[1460, 1330, 1792, 1476]",
63,N30051000830023,person,0.86,"[2094, 666, 2405, 1819]",
64,N30051000830023,person,0.8,"[1091, 835, 1241, 1319]",
65,N30051000830023,person,0.76,"[1218, 853, 1346, 1305]",
66,N30051000830023,person,0.75,"[1974, 741, 2179, 1598]",
67,N30051000830023,person,0.72,"[1308, 840, 1443, 1289]",
68,N30051000830023,person,0.71,"[918, 851, 1094, 1295]",
69,N30051000830023,person,0.65,"[2639, 779, 2775, 1194]",
70,N30051000830023,person,0.63,"[2438, 767, 2571, 1190]",
71,N30051000830023,person,0.56,"[1923, 714, 2065, 1357]",
72,N30051000830023,person,0.56,"[1822, 807, 1967, 1225]",
73,N30051000830023,potted plant,0.54,"[551, 956, 1256, 1877]",
74,N30051000830023,person,0.41,"[2558, 776, 2667, 1162]",
75,N30051000830023,person,0.4,"[1757, 822, 1861, 1167]",
76,N30051000830023,person,0.33,"[2327, 777, 2444, 1201]",
77,N30051000830023,potted plant,0.29,"[458, 878, 566, 981]",
78,N30051000830023,potted plant,0.28,"[83, 899, 196, 997]",
79,N30051000830023,person,0.26,"[1038, 845, 1130, 1302]",
80,N30051001443396,person,0.91,"[1052, 675, 1579, 1695]",
81,N30051001443396,person,0.91,"[1727, 712, 2075, 1633]",
82,N30051001443396,car,0.87,"[2418, 1197, 2665, 1420]",
83,N30051001443396,bicycle,0.85,"[2051, 1109, 2431, 1926]",
84,N30051001443396,bicycle,0.84,"[1051, 1122, 1541, 1985]",
85,N30051001443396,person,0.82,"[1996, 666, 2478, 1543]",
86,N30051001443396,bicycle,0.82,"[550, 1188, 977, 1965]",
